"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\.eslintrc.cjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\package-lock.json", "JSON", 0, 9828, 0, 0, 0, 0, 0, 1, 9829
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\package.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 1, 61
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\App.jsx", "JavaScript JSX", 0, 0, 261, 0, 0, 0, 8, 19, 288
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\api\especialidadesapi.js", "JavaScript", 174, 0, 0, 0, 0, 0, 8, 17, 199
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\api\historialapi.js", "JavaScript", 101, 0, 0, 0, 0, 0, 10, 13, 124
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\api\medicoapi.js", "JavaScript", 194, 0, 0, 0, 0, 0, 8, 18, 220
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\api\pacienteapi.js", "JavaScript", 142, 0, 0, 0, 0, 0, 7, 14, 163
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\api\reportesApi.js", "JavaScript", 193, 0, 0, 0, 0, 0, 20, 17, 230
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\api\reservaapi.js", "JavaScript", 141, 0, 0, 0, 0, 0, 6, 15, 162
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\components\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 1, 6, 20
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\components\common\Footer.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\components\common\Sidebar.jsx", "JavaScript JSX", 0, 0, 224, 0, 0, 0, 1, 12, 237
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\components\common\TopHeader.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 1, 5, 52
"c:\Users\Jhanely\Desktop\FULL STACK\PROYE\frontend-main\frontend-main\src\helpers\validator.helper.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 2, 7
